@relation 'TrainingData_g2-1-weka.filters.unsupervised.attribute.Remove-V-R8,15,19,22,25'

@attribute current_watercoldfan_livingroom {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute current_nightlamp_bedroom {off,standby,on}
@attribute people_bedroom {off,on}
@attribute class {OtherActivity,g2-1}

@data
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,off,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,on,on,g2-1
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,off,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,on,on,g2-1
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
on,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,on,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
standby,standby,off,off,OtherActivity
